source_dialect	target_msa
بيتهمني بانني بحّرض العمال عليه و عليك و ان أنا بخليهم يضربوا عن العمل.	يتهمني أنني أحرض العمال عليه وعليك، وأني أجعلهم يضربون عن العمل .
انتي ايه اللي مصحيكي لغاية دلوقتي؟	ما الذي يوقظك حتى الآن؟
عشان تشكرني لما رفضت أنشر موضوعك مع سعد الدالي.	الفصحى: حتى تشكرني حينما رفضت أنشر موضوعك مع سعد الدالي.
يا سعد السوق كله بيحسدوا على علاقكتوا ببعض و انت عارف ده كويس.	يا سعد ، السوق الجميع يحسدكم على علاقتكم ببعض، وأنت تعلم هذا جيداً .
أوعى تتكلم إلاً لما يسألك.	لا تتكلم إلا عندما يسألك
ايوا حضرتك ده حق ابويا، حقي أنا بقى؟	إي ، حضرتك هذا حق أبي ، أين حقي أنا إذن ؟
حتى ابوك نفسه مش حيقدر يشفعلك عنده.	وأبوك نفسه لن يقدر يشفع لك عنده .
يعني اللي يطلع من ذمتك، اتنين و عشرين جنيه، تلاتة و عشرين جنيه أنا مش طماعة.	يعني الذي يطلع من ذمتك، اثنين و عشرين جنيه، ثلاثة و عشرين جنيه أنا لست طماعة.
منا طالع أهو بس قبل ما أطلع عايز أقول لمعاليك حاجة واحدة بس	أنا سأخرج ، لكن قبل أن أخرج أريد أن أقول لمعاليك شيئاً واحداً فقط.
يا عم احنا مش ناقصينك الله يسترك عيب كده اختشي فوق فوق.	يا عم ! نحن فاض بنا الكيل ، الله يسترك ، هذا عيب ! استحِ ! أفِق ! أفِق!
قولي انت الأول.	قل لي انت أولاً.
سماحة بيحب ألعاب الحاوي قوي ده استاذ فيها.	سماحة يحب ألعاب هذا الساحر جدا ، أستاذ فيها.
اتفضلي يا هانم تصبحي على خير.	تفضلي يا هانم، تصبحين على خير .
متتكسفش بيتك و تربيتك.	لا تنحرج ! هذا بيتك ، وهذه تربيتك.
ده ابن عم ماجد الدويني؟	هذا ابن العم ماجد الدويني؟
أصدر السيد الرئيس محمد أنور السادات قراراً استنثنائياً بقبول استقالة المهندس ناصف مدكور وزير التعمير و الإسكان و ذلك لأسباب صحية قدرها سيادته على الفور و قبلها مراعاةً لظروفه الصحية.	الفصحى :أصدر السيد الرئيس محمد أنور السادات قراراً استنثنائياً بقبول استقالة المهندس ناصف مدكور وزير التعمير و الإسكان و ذلك لأسباب صحية قدرها سيادته على الفور و قبلها مراعاةً لظروفه الصحية.
كتر خيرك يا عم ريحان ده حسام ابني انت فاكره و هو صغير لسه بسم الله ما شاء الله بقى طول ايه دلوقتي هو من النهاردة هيبتدي يدرب في الشركة فعايزك تاخد بالك من ملامحة كويس لانه بعد كده هيجي لوحده.	كثَّرَ الله خيرك ، يا عم ريحان ! هذا حسام ابني ، تتذكره عندما كان صغيراً ، بسم الله ، ما شاء الله أصبح طويلاً الآن ، من اليوم سيبدأ التدريب في الشركة ، أريدك أن تعرف ملامحه جيداً لأنه بعد ذلك سوف يأتي بمفرده.
و حق مين جابك لحد عندي لناكلنا لقمة مع بعضينا عشان يبقى عيش و ملح و لا ايه يا بيه و بعد كده هناخدكوا مع بعض لحد العرض.	وحق من أتى بك إلى عندي، لَنَأْكُلَنَّ لقمة مع بعضنا ليبقى بيننا عيش وملح. أم ما رأيك يا بيه؟ وبعد ذلك سنأخذكم مع بعض إلى العرض .
واضح طبعاً ان الطرفين يعرفوا بعض، رفقي بيه؟	واضح طبعاً أن الطرفين يعرفان بعضهما ، رفقي بيه ؟
من غير ما أمن أمان يا استاذ الاستاذة اتفضل.	من دون ما أؤمن ، أمان يا أستاذ الأساتذة ، تفضل !
شوفت يا سيدي أهو صاحبك بقى وزير أهو؟	الفصحى: رأيت يا سيدي؟ ها هو صاحبك، قد صار وزيراً .
عشان مصلحة البلد عشان الشعب.	من أجل مصلحة البلد ، من اجل الشعب.
أحمد عدوية؟ مش سكتي يا جعيدي.	أحمد عدوية؟ ليس طريقي ، يا جعيدي.
نرّكز مع بعض الكورة دي بتتاكل كده هو.	نركز سوياً . هذه الكرة تُؤكل هكذا.
فضلتوا قاعدين في القعدة ساعة المواجهة الاخيرة و لا خرجتوا و سبتوهم؟	الفصحى: هل ظللتم جالسين في المجلس في وقت المواجهة الأخيرة ، أم خرجتم وتركتموهم؟
المدام جايه معانا عشان زي ما تقولي حضرتك انها يعني معادها قرّب فبتلف معانا عشان يعني لو ربنا كرم و حصل تبقى قدامنا و نلحقها عقبال عندك يا حبيبتي عقبال عندك.	المدام جاءت معنا لكي ، كما تقولين حضرتك، أنها يعني موعدها قرب، فهي الآن تدور معنا لكي، يعني، لو أن ربنا أكرمنا وحصل، تكون أمامنا، ونلحقها. عقبى لعندك يا حبيبتي. عقبى لعندك .
ايه يا حبيبي مالك؟ بقالك ساعة فاتح الملف علي نفس الصفحة بتحب جديد و لا ايه؟	نعم ، يا حبيبي ما بك ؟ منذ ساعة وأنت فاتح الملف علي نفس الصفحة . هل وقعت في حب جديد أم ماذا ؟
خليك في حالك، افتح يا حامد البوابة خلي الباشا يعدي.	ابقَ في حالك، افتح يا حامد البوابة للباشا لكي يمر .
النتيجة مش محتاجة إعلان يا سيادة الوزير الفرق بين العطائين واضح.	النتيجة لا تحتاج علان ، يا سيادة الوزير . الفرق بين العطائين واضح.
أني خلاص نفسي الحلم اللي حلمت بيه يتحقق.	أنا أتمنى أن الحلم الذي حلمت به يتحقق.
بتفضل عيوب الشغل الحقيقية موجودة تحت الوش المزوق اللي بيطلع عشرة على عشرة.	تظل عيوب الشغل الحقيقية موجودة تحت الوجه المزخرف الذي يبدو انه عشرة على عشرة .
المفروض ترجع امتى؟	المفروض متى ترجع ؟
أيه يا كريم في أيه مالك، عمه؟	الفصحى: ماذا يا كريم ؟ ما بك ما لك عمو؟
الجزمة زي ضيقة عليا و مش مريحاني و جزمة أطفال أساساً.	هذا الحذاء ضيق ، وليس مريح ، و يبدو أنه للأطفال في الأساس.
أما بخصوص الطلب اللي حضرتك قدمتيه عشان قبر حسام اللي في القصر أنا مضيت القرار النهاردة الصبح بالموافقة.	أما بخصوص الطلب الذي قدمتيه ، حضرتك ، من أجل قبر حسام الذي في القصر ، أنا وقعت القرار بالموافقة ، اليوم ، صباحاً .
خليها على ربنا.	اتركها على ربنا .
مبروك يا ناجي بيه أديك رجعت تستورد خشب تاني.	مبارك ، يا ناجي بيه. رجعت تستورد خشب مرة أخرى.
و لو اننا لسه محسبناش حصة كل واحد.	وإذا كنا لم نحسب حصة كل واحد بعد
انا شوفته ناحية زريبة العمدة يلا نروحله	شاهدتُه ناحية حظيرة العمدة . هيا بنا إليه .
و مش عاوزة حاجة من الدنيا ابداً غير اني افضل هنا و اربي ابني و اقضي عمري في خدمته.	لا أريد شيئاً من الدنيا أبداً غير أني أظل هنا ، و أربي ابني و أقضي عمري في خدمتهِ.
مش دي شورتك يا جدي؟	أليست هذه مشورتك ، يا جدي؟
أول مره أشوفك بتقول كان و ياريت و لو؟	هذه المرة الأولى التي أراك فيها تقول : كان ، وليت ، ولو.
ربنا يخليك يا سعادة البيه ربنا يخليك يارب.	ربنا يُبقيك يا سعادة البيه، ربنا يُبقيك يا رب .
حظي كويس انك لسه بتصحى بدري.	حظي طيب أنك ما زلت تستيقظ مبكراً .
طب افرضوا يا جماعة ان محدش طلع هنفضل قاعدين هنا طول الليل؟	فلنفترض يا جماعة لم يخرج أحد ، هل سنظل هنا طوال الليل؟
وكريم ينهي دراسته بكلية التجارة ويبحث عن الجائزة الكبري في اعلانات الشاي او اللبان	وكريمٌ ، يُنْهِي دراستَهُ بكليةِ التجارةِ ، ويبحثُ عن الجائزةِ الكبري ،في إعلاناتِ الشاي أو اللُّبَان .
انتوا لسه قاعدين بترغوا، انتوا أحرار، انتوا الاتنين هتصحوا بدري، انتي عندك سيكشن و بابي عنده علاج طبيعي، اتفضل.	أنتم ما زلتم جالسن ترغون ، أنتم أحرار، أنتما الاثنان ستستيقظان مبكراً، أنتِ عندك سيكشن وأبي عنده علاج طبيعي، تفضل.
طب و ماله علي الطويل ده؟	الفصحى: ما به علي الطويل هذا ؟
أي حد في العالم ده كله كان يتمنى ان حضرتك تبقى باباه.	أي أحد في هذا العالم كان يتمنى أن حضرتك تكون أباه.
و بعدين بقى هترجعوا تاني لنفس النقطة كده مش حنوصل لحل.	الفصحى: سترجعون إلى نفس النقطة مرة أخرى ، وبهذا الشكل لن نتوصل إلى حل .
متكابرش يا سعد.	لا تكابر، يا سعد !
حضرلي الفطار و هاتي على اوضتي علشان مستعجل	حضري لي الفطور و هاتيه على حجرتي لأني مستعجل
ايه السؤال الأخير بتاعك؟	ما سؤالك الأخير؟
اتفقت مع شركة كبيرة تعملي بروجرم شامل لكل المناطق الأثرية في القاهرة و الجيزة و هبدتي من بكرة أنزل كل يوم مكانين تلاتة لحد ما أعرف كل حاجة عن الشغلانة دي.	اتفقتُ مع شركة كبيرة أنها ستعد لي برنامجاً شاملاً لكل المناطق الأثرية بالقاهرة والجيزة ، وسأبدأ من الغد أذهب يومياً إلى مكانين أو ثلاثة أماكن إلى أن أعرف كلَّ شئ عن هذه الوظيفة.
فين شجة نمرة اربعة؟ انطجي يا بت اخوي عجول انطجي.	أين الشقة رقم أربعة. انطقي يا بنت أخي، أقول انطقي.
ايوا كوبوناتك اللي انت قارفنا بيها كل الكوبونات أهي كل الكوبونات أهي.	نعم كوبوناتك التي تزعجنا بها ، ها هي كل الكوبونات ، ها هي كل الكوبونات
انهم يمزحون يا سيدتي.	انهم يمزحون يا سيدتي.
علشان عايزين نوصل للاخر و ننتهي من الحدوتة السخيفة دي أنا دلوقتي عندي استعداد اني اسمع الحقيقة و الحقيقة بس.	لأننا نريد أن نصل للنهاية ، وننتهي من هذه الحكاية السخيفة. أنا الآن مستعد أن أسمع الحقيقة، والحقيقة فقط .
طب تعالى معايا.	طيب ، تعال معي .
بس ده ظلم يا سعد بيه و ربنا ميرضاش بالظلم ابداً.	لكن هذا ظلم ، يا سعد بيه ، والله لا يرضى بالظلم .
كل واحد و ليه يوم.	كل واحد وله يوم .
انت اشفهمك يابو النكد اصلي هناك بيحطوا في الارواح تعريفة	وأنت ، أيش فَهَّمَك ، يا أبو النَّكّد ؟ هناك يضعون في الأرواح تعريفة .
ولا يا زكريا .	ولد ، يا زكريا .
اطمنوا خالص بابا بخير الحمد لله كل ما في الامر ان في مشكلة بسيطة حصلت في المينا بتاعت بورسعيد.	اطمئنوا تماماً ، أبي بخير الحمدلله كل ما في الأمر أنه يوجد مشكلة بسيطة حدثت في ميناء بورسعيد.
و الله أنا بشكرك على كرمك و تواضعك اللي خلاك تيجي لحد هنا بنفسك.	والله انا أشكرك على كرمك وتواضعك الذي جعلك تأتي إلى هنا بنفسك .
ماما أولفت واخده طبعي، يعني إنتي داخله على أشغال شاقه مؤبده.	أمي ألفت لها نفس طبعي. يعني أنت داخلةٌ على أشغال شاقة مؤبدة .
يا عمي عيب نتكلم عن الذاكرة القوية و حضرتك موجود برضو.	يا عمي! من العيب أن نتكلم عن الذاكرة القوية ، وحضرتك موجود.
أهم من حياتك أهم من سلامتك!	أهم من حياتك ؟ أهم من سلامت ك ؟
اومال يعني حيكون قلبي عليك انت انت ناسي انه ابن عمي و كبير العيلة.	الفصحى: نعم ، أم هل سأشفق عليك أنت؟ هل نسيت أنه ابن عمي وكبير العائلة؟
أشرف يا حبيبي أنا حروح مشوار مهم جداً و من فضلك زي ما اتفقنا تخلي بالك من خالتو و تسمع كلامها ماشي و متتشقاش زي العادة.	أشرف يا حبيبي ، أنا سأذهب مشواراً مهماً جداً، ومن فضلك، كما اتفقنا، تراعي خالتك وتسمع كلامها. تمام؟ ولا تتمازح كالعادة .
اومال الولد جعيدي فين؟	وأين الولد جعيدي ؟
لما أشوف وشه العكر ده أنا هصفّي دمه.	عندما أرى وجهه العكر سأصفي دمه.
دول الفرقة و لامؤاخزه.	هؤلاء هم الفرقة ، لا مؤاخذة
الطموح جوا كل واحد في العيلة ان هو نفسه يبقى كبير العيلة من غير ما تفكر أو تعمل حسابك ان الحلم ده ممكن يكبر في دماغه و يحاول يوصل لكرسيك لانه هو من جوا نفسه مش حاسس انه أقل منك في حاجة.	طموح كل واحد في العائلة هو أن يكون هو نفسه كبير العائلة، من دون أن تفكر أو تحسب حسابك أن هذا الحلم قد يكبر في رأسه، ويحاول أن يصل إلى كرسيك لأنه هو من داخل نفسه يشعر أنه ليس أقل منك في شيء .
طب تمام بقولك ايه أنا لازم أدخل المستشفى بأي شكل.	حسنا إذن . أقول لك أنا من الضرورى أن أدخل المستشفى بأي وسيله .
لكن التأمين أنا مبفهمش فيها خالص.	لكن التأمين ، أنا لا أفهم فيه أبداً.
عينوه في وظيفة شرفية يعني الاحساس بالعجز أفظع من الموت نفسه.	عينوه في وظيفة شرفية يعني الإحساس بالعجز أفظع من الموت نفسه.
متسمعش كلام المجنونة دي، البلد مش أمان زي بابا ما بيقول، اوعى تغامر بنفسك لأي سبب و لا عشان أي حاجات تافهه.	لا تسمع كلام هذه المجنونة. البلد ليست أمان مصل ما أبي يقول، حذارَ أن تغامر بنفسك لأي سبب، ولا لأي شيء تافه .
تقدري تديريهم، البنك مش غريب عليكي، انتي خريجة تجارة قسم محاسبة.	هل تستطيعين ان تديريهما. البنك ليس غريباً عليك. انت خريجة تجارة قسم محاسبة .
حاضر يابني من عنيا.	حاضر ، يا بني من عيني.
هو انت الواد المشاغب اللي مشكلة في مصنع الحديد و الصلب من تلاتة اشهر؟	هل أنت الولد المشاغب الذي افتعل مشكلةً في مصنع الحديد والصلب منذ ثلاثة أشهر؟
طب و البنك اللي عاوزني أبقى رئيسة مجلس إدارته و مصنع الموكيت اللي هتبنيه في العاشر؟	طيب و البنك الذي يريدني أن أكون رئيسة مجلس إدارته؟ و مصنع الموكيت الذي ستبنيه في العاشر؟
و بمراجعة المحلات اللي بتأجّر الموتوسيكلات اكتشفنا ان في صاحب محل مبلّغ عن سرقة تلات موتوسيكلات و جاري التحقيق معاه عشان يقولنا على ناس من أجّرت منه الموتوسيكلات دي علشان ناخد منه وصف دقيق لأوصافهم.	و بمراجعة المحلات التي تؤجر الدراجات النارية اكتشفنا أن مالكاً لأحد هذه المحلات قي أبلغ عن سرقة تلات دراجات نارية ، يجري التحقيق معه ليقول لنا على من أجّر منه هذه الدراجات لكي نأخذ منه وصفاً دقيقاً لأشكالهم .
في زبونة إنما سقع قوي يا معلم.	توجد زبونة لكنها ((سقعة قوي)) جداً ، يا معلم .
يا انكل سماحة.	يا عم سماحة.
بس يا سعادة البيه حالته متاخرتش إلاّ بعد ما اتفصل من مصنع سعد بيه.	لكن يا سعادة البيه حالته لم تتأخر إلا بعد ما انفصل من مصنع سعد بيه .
لأ احنا كنا عايزين كنا عايزين نقولك على كل حاجة بس لما نلاقي الكنز كنا عايزين نعملهالك مفاجئة مفاجئة اه.	لا ، نحن كنا نريد أن نقول لك على كل شئ ، لكن عندما نجد الكنز ، كنا نريد أن نجعلها مفاجئة ، مفاجئة ، نعم.
أنا حاجي معاكي المطار أوصلك.	أنا سآتي معك إلى المطار أوصلك.
أنا مبحبش أمشي مع حد.	أنا لا أحب أن أسير مع أحد .
ادي يا سيدي الصحفي بتاعك صاخ سليم أهو.	يا سيدي، صحفيُّك، هذا هو سلمياً صحيحاً كما هو .
ايه يا مصطفى انت بتنشّز يا دوكش انت بتغني من سلم ايه؟	ماذا يا مصطفى ؟ أنت تنشذ ، يا دوكش ! أنت تغني من سلم ماذا ؟
ربنا ينصرك علي مين يعاديك و يزيح عنك يا رب.	ربنا ينصرك على من يعاديك ويزبح عنك يا رب .
مدير مصنعك فصلني دمّر مستقبلي.	مدير مصنعك فصلني، دمَّر مستقبلي .
والله يا ست هانم أنا من ساعة ما نرمين بنتي ما قالتلي الي حصل وأنا إتنكدت. كان عندي تلت أفراح أعتذرت عنهم، و كان عندي سبوبة في الخليج يعني خالصه مخلصه لا مقطوعه ولا ممنوعه سيبتها، ما إحنا الجيران لبعضيها برضك.	والله يا ست هانم أنا من ساعة ما نرمين ابنتي ما قالت لي على ما حدث حصل وأنا تنكدت. كان عندي ثلاثة أعراس أعتذرت عنهم، و كان عندي مصلحة في الخليج يعني خالصة مخلصة لا مقطوعه ولا ممنوعه تركتها ، فنحن الجيران لبعضنا أكيد..
ما هو اللي زي ده محتاج واحد مركزله واعيله طول الوقت و أنا خايف مشاكل الوزارة و تركيزي فيها يخلّوه يلعب بديله.	ومثل هذا يحتاج واحداً يكون منتبهاً له طوال الوقت. وأنا أخشى من أن مشاكل الوزارة، وتركيزي فيها يجعله يلعب بذيله .
نقوم ننام ايه ننام ايه و يجيلي نوم إزاي؟ أنا أنام و القضية في حضني.	نقوم ننام ؟ كيف ؟ ننام كيف ؟ و كيف يأتي لي نوم ؟ أنا أنام و القضية في حضني.
ايه يا مصطفى انت سخنت و لا ايه؟ ده احنا بنهزر مع بعض، احترم نفسك يا وائل.	ماذا ، يا مصطفى ؟ هل أنت سخنت ؟ أم ماذا ؟ نحن نمزح مع بعضنا ، احترم نفسك ، يا وائل !
لأ سليم سحاب ايه! فوق السحاب أنا كلمتلك أحمد.	لا، سليم سحاب ماذا ؟ فوق السحاب. أنا كلَّمتُ لك أحمد .
الله يسامحك يا بني هو انت عدم المؤاخزة شايفني مسطول و لا سكران و لا مبلبع زي ما بقول لحضرتك كده أنا فايق و في وعي اربعة و عشرين قراط ده كلام جدتي الله يرحمها قيلالي ان الكنز في الشقة دي.	سامحك الله ، يا بنيَّ ! لا تؤاخذني ، هل تراني مُغيَّبا أو سكراناً؟ أم ابتلعت مخدراً؟ هكذا كما قلتُ لحضرتك أنا مستفيق وواعيٍ تماماً ، هذا كلام جدتي ، رحمها الله ، قالت لي أن الكنز في هذة الشقة.
